Combined_Key,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Num_Tweets
"Abbeville, South Carolina, US",34.22333378,-82.46170658,242,2,0,240.0,986.6677539038608,0.8264462809917356,0.0
"Acadia, Louisiana, US",30.2950649,-92.41419698,1844,53,0,1791.0,2972.036425175276,2.874186550976139,0.0
"Accomack, Virginia, US",37.76707161,-75.63234615,1053,15,0,1038.0,3258.4478277014477,1.4245014245014245,0.0
"Ada, Idaho, US",43.4526575,-116.24155159999998,5979,33,0,5946.0,1241.520223760193,0.5519317611640743,0.0
"Adair, Iowa, US",41.33075609,-94.47105874,20,0,0,20.0,279.6420581655481,0.0,0.0
"Adair, Kentucky, US",37.10459774,-85.28129668,164,19,0,145.0,854.0777002395582,11.585365853658535,0.0
"Adair, Missouri, US",40.19058551,-92.60078167,110,0,0,110.0,434.04490391824174,0.0,0.0
"Adair, Oklahoma, US",35.88494195,-94.65859267,172,4,0,168.0,774.9842299720648,2.3255813953488373,0.0
"Adams, Colorado, US",39.87432092,-104.3362578,5133,163,0,4970.0,992.0354991389992,3.175530878628482,0.0
"Adams, Idaho, US",44.89333571,-116.4545247,15,0,0,15.0,349.32463903120635,0.0,0.0
"Adams, Illinois, US",39.98815591,-91.18786813,285,1,0,284.0,435.5467257583862,0.3508771929824561,0.0
"Adams, Indiana, US",40.7457653,-84.93671406,57,1,0,56.0,159.32023366967604,1.7543859649122806,0.0
"Adams, Iowa, US",41.02903567,-94.69932645,12,0,0,12.0,333.14825097168233,0.0,0.0
"Adams, Mississippi, US",31.47669768,-91.35326037,429,22,0,407.0,1397.712833545108,5.128205128205129,0.0
"Adams, Nebraska, US",40.52449420000001,-98.50117804,320,10,0,310.0,1020.3105570257947,3.125,0.0
"Adams, Ohio, US",38.84541072,-83.4718964,35,2,0,33.0,126.36291428984043,5.7142857142857135,0.0
"Adams, Pennsylvania, US",39.87140411,-77.21610347,414,15,0,399.0,401.9066295178092,3.6231884057971016,0.0
"Adams, Washington, US",46.98299757,-118.5601734,307,0,0,307.0,1536.305859980984,0.0,0.0
"Adams, Wisconsin, US",43.96974651,-89.76782777,52,2,0,50.0,257.1711177052424,3.8461538461538463,0.0
"Addison, Vermont, US",44.03217337,-73.14130877,71,2,0,69.0,193.0554422601081,2.8169014084507036,0.0
"Adjuntas, Puerto Rico, US",18.180117000000006,-66.754367,72,0,0,72.0,369.5529435918492,0.0,0.0
"Aguada, Puerto Rico, US",18.360255,-67.17513100000001,71,0,0,71.0,169.21280297433208,0.0,0.0
"Aguadilla, Puerto Rico, US",18.459681,-67.12081500000001,112,0,0,112.0,183.7601929482026,0.0,0.0
"Aguas Buenas, Puerto Rico, US",18.251619,-66.126806,81,0,0,81.0,282.6337276248299,0.0,0.0
"Aibonito, Puerto Rico, US",18.131361,-66.264131,60,0,0,60.0,231.66023166023172,0.0,0.0
"Aiken, South Carolina, US",33.54338026,-81.63645384,1049,15,0,1034.0,613.9098272391028,1.4299332697807436,0.0
"Alachua, Florida, US",29.67866525,-82.35928158,2683,14,0,2669.0,997.2383596674138,0.5218039508013418,0.0
"Alamance, North Carolina, US",36.0434701,-79.39976137,1718,40,0,1678.0,1013.5155065512746,2.328288707799768,0.0
"Alameda, California, US",37.64629437,-121.8929271,9256,162,0,9094.0,553.8107697526938,1.7502160760587726,0.0
"Alamosa, Colorado, US",37.57250606,-105.7885451,207,7,0,200.0,1275.1801885048974,3.3816425120772946,0.0
"Albany, New York, US",42.60060306,-73.97723916,2322,121,0,2201.0,760.0505391056149,5.211024978466838,0.0
"Albany, Wyoming, US",41.65498705,-105.7235415,67,0,0,67.0,172.32510288065845,0.0,0.0
"Albemarle, Virginia, US",38.02080697,-78.55481085,628,10,0,618.0,574.4077563340346,1.5923566878980893,0.0
"Alcona, Michigan, US",44.6846864,-83.59507875,26,1,0,25.0,249.87986544930317,3.8461538461538463,0.0
"Alcorn, Mississippi, US",34.88084463,-88.57996173,161,2,0,159.0,435.68857738207987,1.2422360248447204,0.0
"Aleutians West, Alaska, US",52.3233,-174.1596,1,0,0,1.0,17.749378771742986,0.0,0.0
"Alexander, Illinois, US",37.18049267,-89.32910838,32,0,0,32.0,555.4591216802638,0.0,0.0
"Alexander, North Carolina, US",35.922379600000006,-81.17751948,216,1,0,215.0,576.0460836866947,0.462962962962963,0.0
"Alexandria, Virginia, US",38.814003,-77.08183073,2559,56,0,2503.0,1605.113279975914,2.188354826103947,0.0
"Alfalfa, Oklahoma, US",36.73090616,-98.32408495,1,0,0,1.0,17.5377060680463,0.0,0.0
"Alger, Michigan, US",46.41292944,-86.60260122,4,0,0,4.0,43.917435221783045,0.0,0.0
"Allamakee, Iowa, US",43.28383218,-91.37860922,141,4,0,137.0,1030.174618250895,2.8368794326241136,0.0
"Allegan, Michigan, US",42.59147037,-85.89102866,435,7,0,428.0,368.39118909900833,1.6091954022988506,0.0
"Allegany, Maryland, US",39.62357628,-78.69280486,239,18,0,221.0,339.41149738695754,7.531380753138075,0.0
"Allegany, New York, US",42.25748406,-78.02750466,71,1,0,70.0,154.04308867240894,1.4084507042253518,0.0
"Alleghany, North Carolina, US",36.49360862,-81.12857041,54,0,0,54.0,484.8702523121128,0.0,0.0
"Alleghany, Virginia, US",37.78636074,-80.00222498,55,2,0,53.0,370.12113055181686,3.636363636363636,0.0
"Allegheny, Pennsylvania, US",40.46809875,-79.98167747,6435,208,0,6227.0,529.1744960096049,3.2323232323232323,0.0
"Allen, Indiana, US",41.09194313,-85.06800636,3168,143,0,3025.0,835.2249808198807,4.513888888888889,0.0
"Allen, Kansas, US",37.88582951,-95.30030847,10,0,0,10.0,80.84727948904519,0.0,0.0
"Allen, Kentucky, US",36.75197631,-86.19457544,199,7,0,192.0,933.614825240441,3.5175879396984926,0.0
"Allen, Louisiana, US",30.65385745,-92.82442028,727,14,0,713.0,2836.851757911578,1.9257221458046767,0.0
"Allen, Ohio, US",40.77285242,-84.10802343,471,41,0,430.0,460.18114136647415,8.704883227176223,0.0
"Allendale, South Carolina, US",32.98837386,-81.35321066,125,3,0,122.0,1438.7661141804788,2.4,0.0
"Alpena, Michigan, US",45.03477666,-83.62212411,125,13,0,112.0,440.06336912515405,10.4,0.0
"Alpine, California, US",38.59678594,-119.8223594,2,0,0,2.0,177.14791851195747,0.0,0.0
"Amador, California, US",38.44583082,-120.65696,57,0,0,57.0,143.38901187361643,0.0,0.0
"Amelia, Virginia, US",37.34081025,-77.98584649,60,1,0,59.0,456.44731837200464,1.6666666666666667,0.0
"Amherst, Virginia, US",37.60308293,-79.14548696,60,0,0,60.0,189.84337921215,0.0,0.0
"Amite, Mississippi, US",31.17467303,-90.80501621,143,4,0,139.0,1162.8852565666425,2.797202797202797,0.0
"Anasco, Puerto Rico, US",18.287985,-67.120611,89,0,0,89.0,304.15911964731214,0.0,0.0
"Anchorage, Alaska, US",61.14998174,-149.14269860000005,962,9,0,953.0,334.02777777777777,0.9355509355509356,0.0
"Anderson, Kansas, US",38.21413251,-95.29272815,24,0,0,24.0,305.4212267752609,0.0,0.0
"Anderson, Kentucky, US",38.00671029,-84.99171713,36,1,0,35.0,158.26262803886226,2.7777777777777777,0.0
"Anderson, South Carolina, US",34.51828081,-82.63959517,1424,26,0,1398.0,703.0085210162027,1.8258426966292132,0.0
"Anderson, Tennessee, US",36.12684348,-84.19965764,300,3,0,297.0,389.7217386785835,1.0,0.0
"Anderson, Texas, US",31.81534745,-95.65354823,2015,4,0,2011.0,3490.0840045033337,0.19851116625310172,0.0
"Andrew, Missouri, US",39.98492163,-94.80163024,66,1,0,65.0,372.62872628726285,1.5151515151515151,0.0
"Andrews, Texas, US",32.30468633,-102.6376548,189,2,0,187.0,1010.4250200481157,1.058201058201058,0.0
"Androscoggin, Maine, US",44.1664747,-70.20380627,512,5,0,507.0,472.8612724770727,0.9765625,0.0
"Angelina, Texas, US",31.25457347,-94.60901487,1000,12,0,988.0,1153.203021391916,1.2,0.0
"Anne Arundel, Maryland, US",39.00670238,-76.60329337,6003,213,0,5790.0,1036.3687214493623,3.548225887056472,0.0
"Anson, North Carolina, US",34.97403241,-80.09953279,267,2,0,265.0,1092.2032234312362,0.7490636704119851,0.0
"Antelope, Nebraska, US",42.17695516,-98.06662829999999,16,1,0,15.0,254.0489044140997,6.25,0.0
"Antrim, Michigan, US",44.99690221,-85.15503082,29,0,0,29.0,124.33544846510031,0.0,0.0
"Apache, Arizona, US",35.39465006,-109.4892383,2740,110,0,2630.0,3811.53755199132,4.014598540145985,0.0
"Appanoose, Iowa, US",40.74324454,-92.86865906,34,3,0,31.0,273.61982938998875,8.823529411764708,0.0
"Appling, Georgia, US",31.74847232,-82.28909114,437,15,0,422.0,2376.808441205265,3.432494279176201,0.0
"Appomattox, Virginia, US",37.37569884,-78.81340003,54,0,0,54.0,339.38784488718494,0.0,0.0
"Aransas, Texas, US",28.10556197,-96.9995047,92,0,0,92.0,391.3228413441089,0.0,0.0
"Arapahoe, Colorado, US",39.64977461,-104.3353617,6075,352,0,5723.0,925.2349259050548,5.794238683127572,0.0
"Archer, Texas, US",33.61569967,-98.68754589,12,0,0,12.0,140.3016485443704,0.0,0.0
"Archuleta, Colorado, US",37.19474156,-107.04768670000001,19,0,0,19.0,135.43374438662772,0.0,0.0
"Arecibo, Puerto Rico, US",18.406631,-66.675077,186,0,0,186.0,192.86603069265863,0.0,0.0
"Arenac, Michigan, US",44.0636262,-83.89277559,39,3,0,36.0,262.0439427534771,7.6923076923076925,0.0
"Arkansas, Arkansas, US",34.29145151,-91.37277296,134,1,0,133.0,766.3273475923596,0.746268656716418,0.0
"Arlington, Virginia, US",38.8767675,-77.10139853,2737,135,0,2602.0,1155.622735832327,4.932407745706978,0.0
"Armstrong, Pennsylvania, US",40.81665618,-79.46290811,119,6,0,113.0,183.82636904302154,5.042016806722689,0.0
"Armstrong, Texas, US",34.96507426,-101.3574874,3,0,0,3.0,158.9825119236884,0.0,0.0
"Aroostook, Maine, US",46.65926321,-68.59841248,28,1,0,27.0,41.75676683319663,3.571428571428572,0.0
"Arroyo, Puerto Rico, US",17.998457000000005,-66.056546,65,0,0,65.0,332.05619412515966,0.0,0.0
"Arthur, Nebraska, US",41.56896142,-101.6959559,0,0,0,0.0,0.0,,0.0
"Ascension, Louisiana, US",30.20406249,-90.91328409999998,1976,65,0,1911.0,1560.7721714953714,3.2894736842105265,0.0
"Ashe, North Carolina, US",36.43296207,-81.49862729,76,1,0,75.0,279.38095063044517,1.3157894736842106,0.0
"Ashland, Ohio, US",40.84772277,-82.27280781,102,4,0,98.0,190.71124074489572,3.92156862745098,0.0
"Ashland, Wisconsin, US",46.31956891,-90.67837132,10,0,0,10.0,64.25909266161162,0.0,0.0
"Ashley, Arkansas, US",33.19153461,-91.7698471,137,3,0,134.0,696.9527394821182,2.18978102189781,0.0
"Ashtabula, Ohio, US",41.70860332,-80.74830218,478,44,0,434.0,491.5622011291532,9.205020920502092,0.0
"Asotin, Washington, US",46.18894415,-117.2022851,21,2,0,19.0,92.99442033477993,9.523809523809524,0.0
"Assumption, Louisiana, US",29.89946234,-91.06461642,452,17,0,435.0,2064.7754785071493,3.761061946902655,0.0
"Atascosa, Texas, US",28.89333001,-98.52730485,355,2,0,353.0,693.9964420464098,0.5633802816901409,0.0
"Atchison, Kansas, US",39.53185661,-95.30870026,49,0,0,49.0,304.85908044546755,0.0,0.0
"Atchison, Missouri, US",40.43238737,-95.42970639,6,0,0,6.0,116.663426015944,0.0,0.0
"Athens, Ohio, US",39.33425634,-82.04278644,274,1,0,273.0,419.4284139789061,0.36496350364963503,0.0
"Atkinson, Georgia, US",31.29633502,-82.87545866,228,2,0,226.0,2792.4066135946114,0.8771929824561403,0.0
"Atlantic, New Jersey, US",39.47538693,-74.65848483,3126,237,0,2889.0,1185.5728751848899,7.581573896353168,0.0
"Atoka, Oklahoma, US",34.37366573,-96.03802487,47,0,0,47.0,341.6194214275331,0.0,0.0
"Attala, Mississippi, US",33.08658803,-89.57838564,406,23,0,383.0,2233.9606030593154,5.665024630541872,0.0
"Audrain, Missouri, US",39.215877,-91.84242683,158,1,0,157.0,622.3412635890973,0.6329113924050633,0.0
"Audubon, Iowa, US",41.6844628,-94.90581859,21,1,0,20.0,382.09606986899564,4.761904761904762,0.0
"Auglaize, Ohio, US",40.55998859,-84.22421429999999,135,5,0,130.0,295.6895041177501,3.703703703703704,0.0
"Augusta, Virginia, US",38.16404586,-79.12461614,229,2,0,227.0,303.07842981550596,0.8733624454148472,0.0
"Aurora, South Dakota, US",43.71757685,-98.56050467,35,0,0,35.0,1272.264631043257,0.0,0.0
"Austin, Texas, US",29.88548725,-96.27736949,160,0,0,160.0,532.7650506126798,0.0,0.0
"Autauga, Alabama, US",32.53952745,-86.64408227,838,20,0,818.0,1499.9373534518247,2.386634844868735,0.0
"Avery, North Carolina, US",36.07569796,-81.92308483,56,0,0,56.0,318.961098137495,0.0,0.0
"Avoyelles, Louisiana, US",31.07796211,-92.00079449,655,20,0,635.0,1631.6261458748504,3.053435114503817,0.0
"Baca, Colorado, US",37.31940883,-102.5603223,14,0,0,14.0,390.9522479754258,0.0,0.0
"Bacon, Georgia, US",31.55456473,-82.45936528,345,5,0,340.0,3090.290218559656,1.4492753623188406,0.0
"Bailey, Texas, US",34.06854817,-102.8299707,125,1,0,124.0,1785.7142857142858,0.8,0.0
"Baker, Florida, US",30.33060121,-82.28467476,238,4,0,234.0,814.7894556658679,1.680672268907563,0.0
"Baker, Georgia, US",31.32669878,-84.44218806,45,3,0,42.0,1481.2376563528635,6.666666666666668,0.0
"Baker, Oregon, US",44.70915557,-117.6749883,13,0,0,13.0,80.62515504837509,0.0,0.0
"Baldwin, Alabama, US",30.72774991,-87.72207058,1990,14,0,1976.0,891.4412679072183,0.7035175879396985,0.0
"Baldwin, Georgia, US",33.06882326,-83.24701748,745,35,0,710.0,1659.612385832034,4.697986577181208,0.0
"Ballard, Kentucky, US",37.05842757,-88.99427697,25,0,0,25.0,316.9371196754564,0.0,0.0
"Baltimore, Maryland, US",39.45784712,-76.62911955,9828,512,0,9316.0,1187.8603285108236,5.2096052096052095,0.0
"Baltimore City, Maryland, US",39.30211911,-76.61151012,9505,384,0,9121.0,1601.543412694401,4.039978958442925,0.0
"Bamberg, South Carolina, US",33.21927586,-81.05659969,311,3,0,308.0,2211.0052609128393,0.964630225080386,0.0
"Bandera, Texas, US",29.74619598,-99.24598147,48,0,0,48.0,207.68431983385258,0.0,0.0
"Banks, Georgia, US",34.35607081,-83.49644388,188,3,0,185.0,977.4357907871477,1.5957446808510638,0.0
"Banner, Nebraska, US",41.54634427,-103.7114332,2,0,0,2.0,268.4563758389262,0.0,0.0
"Bannock, Idaho, US",42.67002716,-112.2233311,199,1,0,198.0,226.6308309037901,0.5025125628140703,0.0
"Baraga, Michigan, US",46.6720582,-88.36363591,5,0,0,5.0,60.9087586794981,0.0,0.0
"Barber, Kansas, US",37.2288586,-98.68460053,3,0,0,3.0,67.7659814772984,0.0,0.0
"Barbour, Alabama, US",31.868263,-85.3871286,479,4,0,475.0,1940.3710605201327,0.8350730688935282,0.0
"Barbour, West Virginia, US",39.1307219,-80.00350858,25,1,0,24.0,152.05887719725078,4.0,0.0
"Barceloneta, Puerto Rico, US",18.445533,-66.56053100000001,38,0,0,38.0,153.1270148291425,0.0,0.0
"Barnes, North Dakota, US",46.93579637,-98.06605978,26,0,0,26.0,249.63994239078247,0.0,0.0
"Barnstable, Massachusetts, US",41.72980578,-70.28854339,1635,154,0,1481.0,767.6416733179963,9.418960244648318,0.0
"Barnwell, South Carolina, US",33.26679302,-81.43584352,214,1,0,213.0,1025.5918719447905,0.4672897196261682,0.0
"Barranquitas, Puerto Rico, US",18.201592,-66.30963,131,0,0,131.0,432.08654924467317,0.0,0.0
"Barren, Kentucky, US",36.96469836,-85.93338945,172,2,0,170.0,388.70934936382736,1.162790697674419,0.0
"Barron, Wisconsin, US",45.42372701,-91.84833627,74,1,0,73.0,163.55759879763065,1.351351351351351,0.0
"Barrow, Georgia, US",33.99148694,-83.71436292,771,30,0,741.0,926.2373858721768,3.891050583657588,0.0
"Barry, Michigan, US",42.59513984,-85.30834519,155,2,0,153.0,251.82778229082047,1.2903225806451613,0.0
"Barry, Missouri, US",36.70978521,-93.82919888,160,0,0,160.0,447.0647405627428,0.0,0.0
"Bartholomew, Indiana, US",39.20744865,-85.89558181,638,45,0,593.0,761.5273517229855,7.053291536050158,0.0
"Barton, Kansas, US",38.47889676,-98.75636726,75,3,0,72.0,290.9344815547538,4.0,0.0
"Barton, Missouri, US",37.50207671,-94.34757022,51,0,0,51.0,433.89484430832056,0.0,0.0
"Bartow, Georgia, US",34.23732119,-84.83887523,1142,46,0,1096.0,1059.9788375503538,4.028021015761821,0.0
"Bastrop, Texas, US",30.10370699,-97.31206354,1034,12,0,1022.0,1165.4249743583964,1.1605415860735009,0.0
"Bates, Missouri, US",38.25271289,-94.34113157,19,1,0,18.0,117.48701459312392,5.2631578947368425,0.0
"Bath, Kentucky, US",38.14735938,-83.74588932,23,1,0,22.0,184.0,4.3478260869565215,0.0
"Bath, Virginia, US",38.05852573,-79.73912095,2,0,0,2.0,48.22763443453098,0.0,0.0
"Baxter, Arkansas, US",36.28784385,-92.33782872,44,0,0,44.0,104.93179433368307,0.0,0.0
"Bay, Florida, US",30.26548745,-85.62122584,2105,9,0,2096.0,1204.8882401762974,0.42755344418052255,0.0
"Bay, Michigan, US",43.70639106,-83.98731479,480,31,0,449.0,465.4500319996897,6.458333333333332,0.0
"Bayamon, Puerto Rico, US",18.34946,-66.168435,758,0,0,758.0,364.21995425628023,0.0,0.0
"Bayfield, Wisconsin, US",46.52868768,-91.19716729,13,1,0,12.0,86.45916467145517,7.6923076923076925,0.0
"Baylor, Texas, US",33.61640794,-99.21352901,1,0,0,1.0,28.498147620404676,0.0,0.0
"Beadle, South Dakota, US",44.41464384,-98.27858469,571,9,0,562.0,3094.347802525336,1.5761821366024518,0.0
"Bear Lake, Idaho, US",42.28269683,-111.32892379999998,3,0,0,3.0,48.979591836734684,0.0,0.0
"Bear River, Utah, US",41.52106798,-113.0832816,1945,4,0,1941.0,1041.1202346668954,0.20565552699228792,0.0
"Beaufort, North Carolina, US",35.48531943,-76.84325809,207,0,0,207.0,440.4817636293995,0.0,0.0
"Beaufort, South Carolina, US",32.39226291,-80.72619758,2521,26,0,2495.0,1312.1870478133685,1.0313367711225705,0.0
"Beauregard, Louisiana, US",30.64836518,-93.34173616,493,9,0,484.0,1314.7718484145398,1.8255578093306288,0.0
"Beaver, Oklahoma, US",36.7496847,-100.4758872,32,0,0,32.0,602.5230653360949,0.0,0.0
"Beaver, Pennsylvania, US",40.6825484,-80.34921611,968,81,0,887.0,590.4995455349573,8.367768595041323,0.0
"Beaverhead, Montana, US",45.13434354,-112.8984694,9,0,0,9.0,95.20787051729609,0.0,0.0
"Beckham, Oklahoma, US",35.26862449,-99.68128023,27,0,0,27.0,123.51891669335285,0.0,0.0
"Bedford, Pennsylvania, US",40.00522157,-78.48998442,105,4,0,101.0,219.26161042432344,3.809523809523809,0.0
"Bedford, Tennessee, US",35.51123746,-86.45549096,688,10,0,678.0,1383.9438376279845,1.4534883720930232,0.0
"Bedford, Virginia, US",37.3080028,-79.5281964,191,4,0,187.0,241.7813334683596,2.094240837696335,0.0
"Bee, Texas, US",28.41761668,-97.74215593,232,1,0,231.0,712.4213112237062,0.4310344827586207,0.0
"Belknap, New Hampshire, US",43.51637314,-71.41684235,96,4,0,92.0,156.5991876417141,4.166666666666667,0.0
"Bell, Kentucky, US",36.73355174,-83.67766671,160,1,0,159.0,614.6281499692686,0.625,0.0
"Bell, Texas, US",31.03736027,-97.4785025,2640,17,0,2623.0,727.4250256251997,0.6439393939393939,0.0
"Belmont, Ohio, US",40.01625942,-80.9924051,575,25,0,550.0,858.1321075724562,4.3478260869565215,0.0
"Ben Hill, Georgia, US",31.76095874,-83.22145359,266,1,0,265.0,1592.814371257485,0.3759398496240601,0.0
