Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,Num_Tweets
Alabama,32.3182,-86.9023,76005,1438,32510.0,42057.0,1550.1148743112894,628984.0,9157.0,1.8919807907374515,12828.069917818722,12.047891586079864,0
Alaska,61.3707,-152.4044,2249,19,800.0,1430.0,307.4315318948253,200572.0,,0.8448199199644286,27417.58880178253,,0
Arizona,33.7298,-111.4312,156301,3143,20171.0,132987.0,2147.3702027431477,836817.0,7461.0,2.0108636541033005,11496.765157925496,4.773481935496254,1
Arkansas,34.9697,-92.3731,37249,394,29827.0,7028.0,1234.3081260413198,461464.0,2361.0,1.0577465166850115,15291.384066029468,6.338425192622621,0
California,36.1162,-119.6816,440185,8337,,431848.0,1114.0476707676005,6915876.0,,1.8939763962879244,17503.130613531917,,3
Colorado,39.0598,-105.3111,42962,1790,5122.0,36050.0,746.0317680824402,470877.0,6149.0,4.166472696801825,8176.742257328691,14.312648386946607,0
Connecticut,41.5978,-72.7554,48776,4413,8516.0,35847.0,1368.0806061335315,713072.0,10712.0,9.04748236837789,20000.4095041998,21.961620469083158,0
Delaware,39.3185,-75.5071,14202,578,7936.0,5688.0,1458.4642685496692,164326.0,,4.0698493169976055,16875.34145850535,,0
Florida,27.7663,-81.6868,402312,5653,,396659.0,1873.158238225936,3276636.0,23575.0,1.4051283580902385,15255.964816032527,5.859879894211457,2
Georgia,33.0406,-83.6431,161420,3443,,157977.0,1520.3312517547809,1382444.0,16752.0,2.1329451121298475,13020.52296494168,10.377896171478133,3
Hawaii,21.0943,-157.4983,1549,26,1125.0,398.0,109.40254486281246,111291.0,155.0,1.6785022595222725,7860.244428874927,10.006455777921241,0
Idaho,44.2405,-114.4788,17265,144,5008.0,12113.0,966.1092349746652,160193.0,697.0,0.8340573414422241,8964.027609516163,4.03706921517521,1
Illinois,40.3495,-88.9861,169696,7577,,162119.0,1339.1603306265138,2433765.0,,4.465043371676409,19206.118836432423,,1
Indiana,39.8494,-86.2583,60598,2884,43066.0,14648.0,900.1192623115796,678749.0,8128.0,4.7592329779860725,10082.099230580583,13.412983926862273,0
Iowa,42.0115,-93.2105,41434,826,29216.0,11392.0,1313.251370017147,441873.0,,1.9935318820292516,14005.172626914775,,1
Kansas,38.5266,-96.7265,24554,330,1077.0,23147.0,842.8202383951747,277967.0,1596.0,1.3439765415003666,9541.264690314878,6.4999592734381375,0
Kentucky,37.6681,-84.6701,25932,691,7396.0,17845.0,580.4363927261462,533476.0,3248.0,2.664661422181089,11940.802292379052,12.52506555606972,0
Louisiana,31.1695,-91.8678,103734,3715,61456.0,38563.0,2231.417438587298,1199726.0,,3.5812751846067825,25807.252375562348,,0
Maine,44.6939,-69.3819,3757,118,3259.0,380.0,279.49460352980043,150620.0,378.0,3.140803832845356,11205.077770470727,10.06121905775885,0
Maryland,39.0639,-76.8021,81766,3422,5434.0,72910.0,1352.4698627780494,804350.0,12119.0,4.185113616906783,13304.541424620556,14.821563975246436,0
