,Case_Count,Num_Tweets,State
0,46962,2,AL
1,1222,1,AK
2,0,0,AS
3,108614,8,AZ
4,25246,1,AR
5,292560,50,CA
6,35099,6,CO
7,47108,1,CT
8,12462,0,DE
9,0,0,DC
10,223783,17,FL
11,103890,14,GA
12,0,0,GU
13,1094,2,HI
14,8969,3,ID
15,150554,4,IL
16,49063,5,IN
17,32624,1,IA
18,17332,0,KS
19,17919,6,KY
20,70151,2,LA
21,3460,3,ME
22,70861,6,MD
23,110602,7,MA
24,74551,4,MI
25,39589,1,MN
26,32888,0,MS
27,25590,2,MO
28,1371,0,MT
29,20425,0,NE
30,24301,6,NV
31,5952,1,NH
32,174039,5,NJ
33,14017,2,NM
34,398929,34,NY
35,77687,6,NC
36,3971,0,ND
37,0,0,MP
38,60181,4,OH
39,17894,5,OK
40,10817,2,OR
41,96725,4,PA
42,0,0,PR
43,17204,0,RI
44,48909,4,SC
45,7242,0,SD
46,55986,10,TN
47,224929,26,TX
48,26755,0,UT
49,1256,0,VT
50,0,0,VI
51,67375,3,VA
52,37941,5,WA
53,3707,0,WV
54,33154,1,WI
55,1740,0,WY
56,8287,2,LAOrleans
57,8035,1,TXEl Paso
58,991,1,MAHampshire
59,217777,6,NYNew York
60,0,3,NYBronx
61,0,6,NYKings
62,70128,2,AZMaricopa
63,23781,3,FLBroward
64,4071,2,CASan Francisco
65,123256,13,CALos Angeles
66,20225,3,CAOrange
67,4208,1,NCDurham
68,1060,1,TNWilson
69,2061,1,AZSanta Cruz
70,1129,1,MIIngham
71,6854,1,NJMorris
72,15400,1,MDMontgomery
73,29160,3,TXDallas
74,13489,1,NCMecklenburg
75,17842,2,CASan Diego
76,5552,2,CASanta Clara
77,5759,1,CAKern
78,275,1,WIOzaukee
79,2123,1,WABenton
80,41799,2,NYSuffolk
81,9358,1,GAFulton
82,40012,1,TXHarris
83,1620,1,ALMadison
84,1039,1,ALBaldwin
85,0,2,NYNew York (Manhattan)
86,1593,1,GACherokee
87,1618,1,SCYork
88,15,1,ORTillamook
89,16099,1,FLHillsborough
90,19732,1,NJBergen
91,261,1,WAKitsap
92,10439,1,FLDuval
93,0,1,MOSt. Louis City
94,297,2,IDCassia
95,3007,1,TNHamilton
96,4571,1,OKTulsa
97,8277,1,OHCuyahoga
98,4959,1,AZPinal
