,Case_Count,Num_Tweets,State,Lat,Lon,Cases_Per_Day,Deaths,Acutely_Ill,Hospitalized,Recovered,Positive_Tests,Negative_Tests,Total_Tests,Population,Death_Rate,Hospitalization_Rate
0,57255,0,AL,32.318231,-86.902298,1259.55,1164,30308,7123,25783,57255,471834,529089,4903185,0.020330102174482577,0.12440834861584141
1,1539,2,AK,63.588753000000004,-154.493062,39.50,17,920,NA,642,1579,147894,149473,731545,0.011046133853151396,NA
2,123824,15,AZ,34.048928000000004,-111.093731,3395.35,2337,110082,5942,15678,128097,593846,721943,7278717,0.018873562475772064,0.047987466080889
3,28939,2,AR,35.20105,-91.83183299999999,621.85,331,6637,1872,22844,29812,360487,390299,3017804,0.011437852033587891,0.06468779156156053
4,333357,93,CA,36.778261,-119.41793200000001,7514.30,7250,NA,NA,NA,346211,5328744,5674955,39512223,0.021748455859633965,NA
5,37218,11,CO,39.550051,-105.782067,326.45,1738,31122,5941,4808,37668,367287,404955,5758736,0.046697834381213395,0.15962706217421677
6,47510,4,CT,41.603221000000005,-73.087749,80.85,4372,34807,10552,8351,47530,544231,591761,3565287,0.09202273205640918,0.22210061039781098
7,12879,2,DE,38.910832,-75.52767,104.00,518,5267,NA,7184,12969,128631,141600,973764,0.04022051401506328,NA
8,282435,50,FL,27.664827000000002,-81.515754,9130.75,4409,NA,19201,NA,291629,2393614,2685243,21477737,0.015610671481933897,0.06798378387947669
9,120572,20,GA,32.157435,-82.907123,2729.10,3054,NA,13685,NA,123963,1007071,1131034,10617423,0.025329263842351457,0.11350064691636533
10,1243,5,HI,19.898682,-155.66585700000002,21.45,22,331,128,911,1264,94806,96070,1415872,0.017699115044247787,0.10297666934835076
11,11404,2,ID,44.068202,-114.74204099999999,365.90,103,8355,500,3262,11720,118564,130284,1787065,0.009031918625043845,0.04384426517011575
12,155931,13,IL,40.633125,-89.398528,904.90,7419,NA,NA,NA,156638,1885934,2042572,12671821,0.04757873674894665,NA
13,52037,9,IN,40.551217,-85.602364,477.25,2775,10755,7633,39155,52685,525724,578409,6732219,0.05332744009070469,0.1466840901666122
14,35631,2,IA,41.878003,-93.097702,469.85,757,8157,NA,26952,35866,344542,380408,3155070,0.02124554461003059,NA
15,19645,5,KS,39.011902,-98.484246,347.85,299,18668,1343,920,19887,211288,231175,2913314,0.015220157800967167,0.06836345125986255
16,19653,12,KY,37.839333,-84.27001800000001,293.00,635,14199,2802,5389,20223,435333,455556,4467673,0.032310588714191214,0.1425736528774233
17,79827,4,LA,31.244822999999997,-92.14502399999999,1478.25,3445,32263,NA,46334,82042,894413,976455,4648794,0.04315582447041728,NA
18,3566,0,ME,45.253783,-69.44546899999999,27.45,114,390,373,3062,3566,121909,125475,1344212,0.03196859226023556,0.10459899046550757
19,73527,10,MD,39.045755,-76.641271,446.15,3334,65688,11485,5238,74260,591809,666069,6045680,0.04534388727950277,0.1562011233968474
20,111827,9,MA,42.407211,-71.382437,225.95,8340,9443,11625,94347,112130,866084,978214,6892503,0.07457948438212596,0.10395521653983385
21,77198,13,MI,44.314844,-85.602364,465.45,6326,17671,NA,53867,77864,1255922,1333786,9986857,0.08194512811212726,NA
22,42772,4,MN,46.729553,-94.6859,470.35,1548,3873,4452,37749,43170,734444,777614,5639632,0.03619190124380436,0.1040867857476854
23,36680,1,MS,32.354668,-89.398528,705.90,1272,10338,3585,25932,37542,312671,350213,2976149,0.03467829880043621,0.0977371864776445
24,28289,6,MO,37.964253,-91.83183299999999,505.85,1114,NA,NA,NA,29240,475863,505103,6137428,0.039379264024886,NA
25,1843,1,MT,46.879682,-110.36256599999999,59.30,34,1034,136,884,1952,119444,121396,1068778,0.018448182311448725,0.0737927292457949
26,21399,2,NE,41.492537,-99.901813,174.80,286,5406,1431,16025,21717,194518,216235,1934408,0.013365110519183139,0.06687228375157718
27,28515,5,NV,38.802609999999994,-116.419389,804.55,612,28207,NA,800,29619,330561,360180,3080156,0.021462388216728037,NA
28,6068,8,NH,43.193852,-71.572395,24.65,392,643,589,5056,6091,129937,136028,1359711,0.06460118655240607,0.09706657877389585
29,175522,7,NJ,40.058324,-74.405661,301.15,15582,129015,20632,31318,175915,1545316,1721231,8882190,0.08877519627169243,0.1175465183851597
30,15291,3,NM,34.97273,-105.03236299999999,226.20,551,8600,2227,6363,15514,408841,424355,2096829,0.03603426852396835,0.14564122686547643
31,402263,64,NY,43.299428000000006,-74.217933,675.45,32408,299075,89995,71692,403175,4381752,4784927,19453561,0.08056420799327803,0.22372179395072378
32,87669,14,NC,35.759572999999996,-79.0193,1673.65,1571,21305,NA,67124,90000,1164846,1254846,10488084,0.017919675141726266,NA
33,4493,0,ND,47.551493,-101.002012,56.55,88,720,280,3685,4493,120540,125033,762062,0.01958602270198086,0.06231916314266637
34,66853,9,OH,40.417287,-82.907123,1061.80,3069,18644,9049,46282,67995,975754,1043749,11689100,0.04590669079921619,0.1353566780847531
35,20746,4,OK,35.007752,-97.092877,511.50,428,4677,2116,16635,21740,419554,441294,3956971,0.020630482984671746,0.10199556541019955
36,12438,3,OR,43.804133,-120.554201,268.05,244,9432,1254,3129,12805,292651,305456,4217737,0.01961730181701238,0.10082006753497347
37,100330,19,PA,41.203322,-77.194525,679.05,6931,19899,NA,74436,101266,846017,947283,12801989,0.06908202930329911,NA
38,17487,1,RI,41.580095,-71.477429,49.10,985,14911,2070,1692,17588,157070,174658,1059361,0.05632755761422771,0.11837364899639732
39,58168,8,SC,33.836081,-81.163725,1624.60,993,35547,3744,23849,60389,457092,517481,5148714,0.01707124191995599,0.06436528675560446
40,7572,0,SD,43.969515,-99.901813,57.65,109,864,744,6599,7572,84592,92164,884659,0.01439513998943476,0.098256735340729
41,65274,7,TN,35.517491,-86.58044699999999,1477.65,767,27749,3378,38272,66788,1005100,1071888,6829174,0.011750467261084046,0.05175108006250574
42,269778,24,TX,31.968598999999998,-99.901813,7572.25,3362,133817,NA,142398,279577,2319103,2598680,28995881,0.01246209846614624,NA
43,30030,4,UT,39.32098,-111.093731,584.70,226,12141,1888,18111,30478,394043,424521,3205958,0.007525807525807526,0.06287046287046287
44,1305,0,VT,44.558803000000005,-72.577841,6.05,56,150,NA,1099,1305,76319,77624,623989,0.04291187739463601,NA
45,71642,9,VA,37.431573,-78.656894,646.45,1977,61043,10550,9423,72443,758407,830850,8535519,0.02759554451299517,0.1472599871583708
46,40656,12,WA,47.751073999999996,-120.74013899999999,621.75,1404,NA,4778,NA,42304,665970,708274,7614893,0.0345336481700118,0.11752262888626525
47,4407,0,WV,38.597626,-80.454903,88.80,97,1328,NA,2982,4407,209605,214012,1792147,0.02201043793964148,NA
48,36942,5,WI,43.784440000000004,-88.787868,607.15,826,7805,3892,29275,37906,676638,714544,5822434,0.02235937415407937,0.10535433923447567
49,1950,0,WY,43.075967999999996,-107.29028400000001,33.40,22,466,128,1462,1950,38078,40028,578759,0.011282051282051283,0.06564102564102564
