,Case_Count,Num_Tweets,State
0,0,0,AL
1,0,0,AK
2,0,0,AS
3,0,0,AZ
4,0,0,AR
5,0,3,CA
6,0,2,CO
7,0,0,CT
8,0,0,DE
9,0,0,DC
10,0,1,FL
11,0,0,GA
12,0,0,GU
13,0,0,HI
14,0,2,ID
15,0,1,IL
16,0,2,IN
17,0,0,IA
18,0,0,KS
19,0,0,KY
20,0,1,LA
21,0,0,ME
22,0,1,MD
23,0,1,MA
24,0,0,MI
25,0,0,MN
26,0,0,MS
27,0,1,MO
28,0,0,MT
29,0,0,NE
30,0,0,NV
31,0,1,NH
32,0,0,NJ
33,0,0,NM
34,0,8,NY
35,0,0,NC
36,0,0,ND
37,0,0,MP
38,0,1,OH
39,0,1,OK
40,0,2,OR
41,0,2,PA
42,0,0,PR
43,0,0,RI
44,0,0,SC
45,0,0,SD
46,0,2,TN
47,0,2,TX
48,0,0,UT
49,0,0,VT
50,0,0,VI
51,0,0,VA
52,0,0,WA
53,0,0,WV
54,0,0,WI
55,0,0,WY
56,0,1,CALos Angeles
57,0,1,MOSt. Louis City
58,0,2,IDCassia
59,0,1,TNHamilton
60,0,1,OKTulsa
61,0,1,TXTarrant
62,0,1,MABarnstable
63,0,1,ORMultnomah
